Keskimääräinen LVK%,Keskimääräinen h-määrä 2012,Keskimääräinen h-määrä 2013,Keskimääräinen h-määrä 2014,Keskimääräinen h-määrä 2015,Toimialakoodi,Toimiala
27.8,263,260,255,243,35113,Sähkön ja kaukolämmön yhteistuotanto
28.2,82,79,86,58,43291,Lämpö-, ääni- ja tärinäeristeiden asennus
29.3,141,146,131,133,23610,Betonituotteiden valmistus rakennustarkoituksiin
29.7,654,576,541,10,46699,Muualla luokittelemattomien koneiden ja laitteiden tukkukauppa
30.0,266,280,289,293,46692,Teollisuudessa käytettävien muiden koneiden tukkukauppa
30.6,39,34,56,50,72192,Muu luonnontieteellinen tutkimus ja kehittäminen
30.8,180,190,58,62,71129,Muu tekninen palvelu
33.2,158,155,147,150,42220,Sähkö- ja tietoliikenneverkkojen rakentaminen
33.5,35,35,31,23,43120,Rakennuspaikan valmistelutyöt
34.9,14,14,14,14,46731,Raakapuutukkukauppa
35.0,47,43,44,45,46521,Viestintälaitteiden tukkukauppa
35.0,72,72,72,44,27120,Sähkönjakelu- ja valvontalaitteiden valmistus
35.4,24,20,18,22,46901,Yleistukkukauppa
35.8,1044,984,963,833,2200,Puunkorjuu
36.4,42,34,28,15,25290,Muiden metallisäiliöiden ja -altaiden yms. valmistus
36.5,73,70,78,78,13940,Purjelankojen, nuoran, sidelangan ja verkkojen valmistus
37.3,73,68,67,51,30120,Huvi- ja urheiluveneiden rakentaminen
37.8,23,34,36,42,82990,Muut palvelut liike-elämälle
37.8,418,399,391,384,71123,Rakennetekninen palvelu
38.0,51,54,62,55,46691,Sähkötarviketukkukauppa
38.2,32,34,34,34,25610,Metallien käsittely ja päällystäminen
40.0,60,53,56,57,22290,Muiden muovituotteiden valmistus
40.8,42,43,37,38,43330,Lattianpäällystys ja seinien verhoilu
41.5,58,65,92,102,46711,Nestemäisten ja kaasumaisten polttoaineiden tukkukauppa
43.6,44,67,91,104,58210,Tietokonepelien kustantaminen
44.2,7,7,8,0,82920,Pakkauspalvelut
44.5,46,57,0,0,47529,Muu rauta- ja rakennusalan vähittäiskauppa
46.3,78,0,0,0,95290,Muiden henkilökohtaisten ja kotitaloustavaroiden korjaus
47.3,1193,1131,1079,1063,71127,Kone- ja prosessisuunnittelu
49.8,61,0,0,0,72191,Lääketieteellinen tutkimus ja kehittäminen
52.1,135,139,154,159,70220,Muu liikkeenjohdon konsultointi
63.4,532,535,574,21,16211,Vanerin ja vaneriviilun valmistus
